CUSIP,TIER,QUANTITY,PRICE,BENCHMARK,SPREAD,DATE,AXE,FIRM,ACTIVE
084670BR8,1,44445,67.78,TREAS,88.00,"2024-07-03 00:00:00",1,1,1
084670BR9,1,14000,89.67,TREAS,76.56,"2024-07-03 00:00:00",1,0,0
172967FT3,2,23000,78.96,TREAS,78.50,"2024-07-03 00:00:00",1,0,0
172967FT4,2,45666,67.77,TREAS,90.00,"2024-07-03 00:00:00",1,1,1
20030NBP5,1,32003,98.75,TREAS,70.00,"2024-07-03 00:00:00",0,1,0
459200GJ4,1,30000,98.34,TREAS,67.08,"2024-07-03 00:00:00",0,1,0
50076QAZ9,2,24000,97.11,TREAS,69.56,"2024-07-03 00:00:00",1,0,0
59156RBB3,2,23000,89.34,TREAS,78.88,"2024-07-03 00:00:00",1,0,0
931142DH3,2,34555,78.88,TREAS,79.00,"2024-07-03 00:00:00",1,0,0
931142DH4,1,56777,78.88,TREAS,81.00,"2024-07-03 00:00:00",1,0,1
