CUSIP,DESCR,TICKER,COUPON,OUTSTANDING,MATURITY,INDUSTRY,RATING
00206RCG5,AT&T,ATT,4.32,657780,"2024-07-03 00:00:00",Com,A
02079KAC1,Alphabet,GOOG,2.78,78990,"2024-07-03 00:00:00",Comm,A
060505DP6,"Bank of America",BAC,3.21,46000,"2024-07-03 00:00:00",Fin,A++
084670BR8,"Apple Inc","Apple Inc",5.60,6,"2024-07-03 00:00:00",IT,A
084670BR9,"Apple Inc","Apple Inc",5.60,6,"2024-07-03 00:00:00",IT,A
14149YAZ1,"Cardinal Health",CDH,2.90,12000,"2024-07-03 00:00:00",Health,B
172967FT3,"CITI GROUP INC",CITI,3.44,67900,"2024-07-03 00:00:00",Fin,A
172967FT4,"CITI GROUP INC",CITI,3.46,56800,"2024-07-03 00:00:00",Fin,A
20030NBP5,"COMCAST CORP",CCC,3.56,45000,"2024-07-03 00:00:00",Pharma,A+
26442RAD3,"Duke Energy INC",DUK,3.99,65990,"2024-07-03 00:00:00",Electric,B
459200GJ4,"IBM Corp",IBM,4.01,34000,"2024-07-03 00:00:00",IT,A
478160BV5,"Johnson & Johsnon",JNJ,5.34,445560,"2024-07-03 00:00:00",Retail,A
49326EE99,"FEDEX Group",FED,4.10,67999,"2024-07-03 00:00:00",Com,A
50076QAZ9,"Kraft H Foods",KFH,3.89,46000,"2024-07-03 00:00:00",Agro,A+
59156RBB3,"MET LIFE",MET,3.44,88900,"2024-07-03 00:00:00",Insurance,A
929903DT6,Wachovia,WAC,3.89,45880,"2024-07-03 00:00:00",Fin,B
931142DH3,WallMart,WMT,3.67,56000,"2024-07-03 00:00:00",Retail,A
931142DH4,WallMart,WMT,3.65,67000,"2024-07-03 00:00:00",Retail,A
