ID,CUSIP,ECN,QUANTITY,PRICE,BENCHMARK,DATE,STATUS,DEALER,CLIENT,TIER
1,931142DH3,MA,5000,69.90,TREAS,"2024-07-03 00:00:00",DONE,BLACKROCK,BLACKROCK,1
2,929903DT6,MA,5000,79.90,TREAS,"2024-07-03 00:00:00",DONE,ALIBABA,ALIBABA,1
3,59156RBB3,TW,6000,65.78,TREAS,"2024-07-03 00:00:00",LOST,"SUBARU ","SUBARU ",2
4,50076QAZ9,TW,6000,89.60,TREAS,"2024-07-03 00:00:00",LOST,ATT,ATT,2
5,459200GJ4,BBG,6500,91.10,TREAS,"2024-07-03 00:00:00",DONE,ATT,ATT,3
6,26442RAD3,BBG,5600,78.56,TREAS,"2024-07-03 00:00:00",DONE,FRANKLIN,FRANKLIN,3
7,20030NBP5,NEP,4500,67.88,TREAS,"2024-07-03 00:00:00",LOST,FRANKLIN,FRANKLIN,1
8,02079KAC1,BBG,3400,67.88,TREAS,"2024-07-03 00:00:00",DONE,SBI,SBI,1
9,14149YAZ1,MA,4500,67.88,TREAS,"2024-07-03 00:00:00",DONE,SBI,SBI,1
10,931142DH3,MA,4500,67.88,TREAS,"2024-07-02 00:00:00",DONE,SBI,SBI,2
11,931142DH3,BBG,4500,67.88,TREAS,"2024-07-02 00:00:00",DONE,FRANKLIN,FRANKLIN,1
12,459200GJ4,TW,4500,78.56,TREAS,"2024-07-02 00:00:00",LOST,ATT,ATT,1
13,14149YAZ1,BBG,4500,78.56,TREAS,"2024-07-02 00:00:00",LOST,ATT,ATT,1
14,172967FT3,NEP,5600000,78.91,TREAS,"2024-07-02 00:00:00",DONE,GC,GC,1
15,084670BR9,MA,4455500,77.39,TREAS,"2024-07-02 00:00:00",DONE,GC,GC,1
